category,num_columns,columns,file_size_mb,last_updated,description
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",243.1838260460087,2024-06-10 10:41:24.145954,"Medical study with 1446 patients, 51.88% efficacy rate, testing antibiotic"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",381.850814156431,2024-01-16 10:41:24.185954,"Medical study with 3321 patients, 63.04% efficacy rate, testing antibiotic"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",933.9130821367769,2024-06-01 10:41:24.148954,"Tech research in renewable energy, conducted 799 experiments with 15.24% success rate"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",912.8550890347185,2024-09-16 10:41:24.155954,"Medical study with 880 patients, 88.97% efficacy rate, testing painkiller"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",546.3165611966763,2024-08-18 10:41:24.155954,"Educational dataset with 738 students, average score of 71.20, covering history, math, math, science"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",30.995714881936227,2024-09-15 10:41:24.171954,"Ecological study in mountain environment, observing 297 species, temperature range: 34°C to 46°C"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",359.78921417146387,2024-08-12 10:41:24.145954,"Ecological study in mountain environment, observing 665 species, temperature range: -17°C to 38°C"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",790.5624372023358,2024-05-06 10:41:24.178953,"Ecological study in ocean environment, observing 145 species, temperature range: 7°C to 0°C"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",885.482567006694,2024-08-09 10:41:24.153954,"Medical study with 2210 patients, 76.96% efficacy rate, testing painkiller"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",337.0038939008101,2024-06-13 10:41:24.181954,"Medical study with 4333 patients, 56.89% efficacy rate, testing antibiotic"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",777.1370767420898,2024-03-16 10:41:24.149951,"Medical study with 510 patients, 77.57% efficacy rate, testing antiviral"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",138.2105217792665,2024-04-15 10:41:24.159954,"Educational dataset with 123 students, average score of 82.97, covering science, history, science"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",972.8779741966055,2024-02-01 10:41:24.172951,"Tech research in AI, conducted 112 experiments with 22.15% success rate"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",809.3318603333358,2024-09-03 10:41:24.178953,"Tech research in renewable energy, conducted 231 experiments with 41.49% success rate"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",138.15149495166676,2024-04-05 10:41:24.187955,"Medical study with 2813 patients, 67.43% efficacy rate, testing vaccine"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",497.1065758638245,2024-06-19 10:41:24.174954,"Tech research in AI, conducted 188 experiments with 20.66% success rate"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",665.3859995115968,2023-11-10 10:41:24.139954,"Tech research in robotics, conducted 540 experiments with 62.68% success rate"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",1.2968445580775465,2024-03-28 10:41:24.187955,"Educational dataset with 65 students, average score of 83.85, covering history"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",319.3345833389076,2023-11-11 10:41:24.165954,"Medical study with 3349 patients, 94.03% efficacy rate, testing antibiotic"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",918.4473197200533,2024-06-02 10:41:24.139954,"Medical study with 3795 patients, 79.43% efficacy rate, testing antibiotic"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",350.07598006893284,2024-03-06 10:41:24.142954,"Ecological study in mountain environment, observing 446 species, temperature range: -6°C to 7°C"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",498.6831673792379,2023-10-27 10:41:24.149951,"Educational dataset with 615 students, average score of 84.43, covering science, science, science, literature"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",207.63273019678348,2024-08-21 10:41:24.174954,"Tech research in renewable energy, conducted 397 experiments with 76.16% success rate"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",422.7525415762217,2024-07-25 10:41:24.185954,"Medical study with 4892 patients, 58.29% efficacy rate, testing vaccine"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",805.431040298039,2024-05-23 10:41:24.179953,"Tech research in quantum computing, conducted 225 experiments with 47.75% success rate"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",708.3740958456408,2024-02-01 10:41:24.157954,"Tech research in quantum computing, conducted 504 experiments with 28.15% success rate"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",555.5497939345503,2024-08-18 10:41:24.141954,"Educational dataset with 792 students, average score of 74.73, covering literature, math"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",358.99278734186703,2024-07-07 10:41:24.176954,"Ecological study in forest environment, observing 953 species, temperature range: -13°C to 49°C"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",162.05261203467296,2023-11-17 10:41:24.162954,"Educational dataset with 891 students, average score of 83.94, covering history, history"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",785.0656579217501,2024-03-23 10:41:24.181954,"Medical study with 478 patients, 97.75% efficacy rate, testing painkiller"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",54.59240466025009,2024-09-17 10:41:24.144954,"Ecological study in forest environment, observing 817 species, temperature range: -4°C to 10°C"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",669.9250024867529,2024-04-19 10:41:24.179953,"Educational dataset with 446 students, average score of 79.24, covering science, science, math, math"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",742.8770296594877,2024-02-27 10:41:24.154953,"Ecological study in desert environment, observing 667 species, temperature range: 39°C to 9°C"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",866.2019956965619,2023-10-21 10:41:24.154953,"Educational dataset with 788 students, average score of 92.54, covering literature"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",754.6121384326876,2024-04-16 10:41:24.155954,"Medical study with 542 patients, 61.07% efficacy rate, testing vaccine"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",227.0787448076579,2024-03-17 10:41:24.148954,"Ecological study in forest environment, observing 108 species, temperature range: 0°C to 3°C"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",485.3813621629486,2024-04-17 10:41:24.143954,"Ecological study in forest environment, observing 738 species, temperature range: -3°C to 2°C"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",369.03967173671987,2023-10-11 10:41:24.157954,"Medical study with 3912 patients, 86.97% efficacy rate, testing painkiller"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",992.6894369728747,2023-10-03 10:41:24.168953,"Ecological study in ocean environment, observing 924 species, temperature range: 31°C to 42°C"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",903.8932007914657,2024-07-26 10:41:24.163952,"Medical study with 1400 patients, 66.76% efficacy rate, testing vaccine"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",185.7376024168359,2024-08-26 10:41:24.186952,"Medical study with 1261 patients, 58.20% efficacy rate, testing antiviral"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",822.0168256883336,2024-03-08 10:41:24.134954,"Ecological study in mountain environment, observing 80 species, temperature range: 21°C to 3°C"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",295.8232532926771,2023-12-15 10:41:24.153954,"Tech research in quantum computing, conducted 481 experiments with 25.18% success rate"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",936.2303377765063,2024-07-02 10:41:24.159954,"Educational dataset with 634 students, average score of 71.47, covering math, literature, science"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",751.2830004508056,2024-01-05 10:41:24.188954,"Educational dataset with 482 students, average score of 69.34, covering history, literature, literature"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",813.2702672446882,2023-11-13 10:41:24.177953,"Educational dataset with 446 students, average score of 85.76, covering science"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",725.327299808716,2023-11-02 10:41:24.159954,"Educational dataset with 958 students, average score of 99.69, covering math"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",752.0387567105192,2024-07-01 10:41:24.147953,"Tech research in robotics, conducted 526 experiments with 85.09% success rate"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",825.9439844161511,2023-10-03 10:41:24.188954,"Tech research in AI, conducted 611 experiments with 73.82% success rate"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",964.110742246314,2024-07-02 10:41:24.139954,"Tech research in AI, conducted 98 experiments with 32.15% success rate"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",44.00972015226939,2024-02-10 10:41:24.167954,"Educational dataset with 221 students, average score of 84.44, covering literature, science, history"
